epoch,train_loss,val_loss,macro_f1,sample_f1,lr,best_sample_f1
19,0.15940378107676825,0.1516259922096448,0.9138099507989548,0.9322863978607148,0.00018279451714031894,0.924428544214537
20,0.15686454125295005,0.1583693078863695,0.9135817806667854,0.9295528502127155,0.0001809971909403073,0.9322863978607148
21,0.1548346983103224,0.15383469498490696,0.9096235003183598,0.927786254546209,0.0001791204237313812,0.9322863978607148
22,0.15392244339872635,0.2024149543472699,0.8328131562183244,0.8727640329528534,0.00017716606765619107,0.9322863978607148
23,0.15167865603464814,0.1480667679483846,0.9214282182266693,0.9383063520246103,0.00017513605142823076,0.9322863978607148
24,0.14992121063091454,0.14774466537355635,0.9244342202121908,0.9405772445767445,0.00017303237842843048,0.9383063520246103
25,0.1480311105687421,0.147883731339659,0.9244577507861079,0.9389012971049715,0.0001708571247280615,0.9405772445767445
26,0.14593275394668445,1.5789089032581873,0.3132744127963931,0.4694178287032187,0.00016861243703990454,0.9405772445767445
27,0.14463880744162663,0.14189996690668674,0.9269797721569348,0.9424516481496911,0.00016630053059970337,0.9405772445767445
28,0.1454273212393063,0.7747149130572444,0.42607018888868253,0.5532182416369996,0.00016392368697999463,0.9424516481496911
29,0.14282341228213957,0.14099946460738685,0.9306078592966076,0.9477239529360361,0.00016148425183847118,0.9424516481496911
30,0.14241717229255835,0.13959337803332703,0.9330713594882979,0.9471888278811531,0.0001589846326031011,0.9477239529360361
31,0.14091559437898318,0.13782035152179115,0.9338620794865137,0.947776223111304,0.000156427296096287,0.9477239529360361
32,0.1398870050907135,0.44636279363069475,0.3977169192618378,0.6013013475701268,0.00015381476610041014,0.947776223111304
33,0.13908854895235037,0.13754869493083183,0.9343722550029097,0.948625120165309,0.00015114962086716193,0.947776223111304
34,0.13609939539302343,0.13352859242362267,0.9398963497332993,0.954806641994825,0.00014843449057312067,0.948625120165309
35,0.13617540733211683,0.1365831610023605,0.9357108158009098,0.9497745246218992,0.0001456720547240849,0.954806641994825
36,0.13536948736251422,0.13155229500732066,0.9418927372689367,0.9561919454649411,0.0001428650395107247,0.954806641994825
37,0.13538917036677672,0.132830465247172,0.9407402521786674,0.9549100487336392,0.00014001621511816064,0.9561919454649411
38,0.13387927275830983,0.131268956091093,0.9441140976353561,0.9570759375655725,0.00013712839299212545,0.9561919454649411
39,0.13332216030163996,0.13234530069998332,0.9417001807793768,0.956079514187844,0.00013420442306440647,0.9570759375655725
40,0.13248451059907906,0.1288787315350882,0.9469849861525359,0.9594437956961904,0.00013124719094030724,0.9570759375655725
41,0.1315897606580566,0.8105400519341416,0.42488368237573515,0.5549330300490682,0.00012825961505090328,0.9594437956961904
42,0.13041031480346937,0.1304602321723233,0.9431072080891636,0.9559817588722207,0.00012524464377290298,0.9594437956961904
43,0.13099163592838087,0.7340937867668105,0.23046509068679832,0.34834395121960526,0.00012220525251895595,0.9594437956961904
44,0.13077572553001587,0.5870140274489148,0.39283350188325356,0.5883188076867844,0.00011914444080127957,0.9594437956961904
45,0.12899128998544027,0.12966033284153258,0.9438931686251498,0.9564402760296373,0.00011606522927150294,0.9594437956961904
46,0.12782493134882075,0.12596324386989108,0.9500183135161472,0.9622349431510074,0.00011297065673964826,0.9594437956961904
47,0.12780409718917424,0.12545929876913936,0.9502606716092298,0.96265817371281,0.00010986377717519214,0.9622349431510074
48,0.12731973991937087,0.12755422238607583,0.9480609008866069,0.9615026339320275,0.00010674765669316666,0.96265817371281
49,0.12814910676150165,0.12696731164588693,0.9449595431558391,0.9595482972669033,0.00010362537052827374,0.96265817371281
50,0.1272999122041436,0.12645824929201824,0.9508719113975024,0.9631484184399864,0.00010049999999999998,0.96265817371281
51,0.1265792236685195,0.1270423960056364,0.9464922795178686,0.9613044106647304,9.737462947172621e-05,0.9631484184399864
