epoch,train_loss,val_loss,macro_f1,sample_f1,lr,best_sample_f1
1,0.32820886524623716,0.315721333026886,0.563718291785666,0.6859910316115679,0.0001999509027563903,0.0
2,0.29331472885683063,0.28269232920608167,0.6379210870510895,0.7457405880871041,0.00019980365947861302,0.6859910316115679
3,0.2663158608394182,0.2597160579069801,0.7013890047753744,0.7721357439437215,0.00019955841547800645,0.7457405880871041
4,0.2476539914256511,0.23892550531381407,0.7763522431606961,0.8087559478935826,0.00019921541278079054,0.7721357439437215
5,0.23061184303808882,0.21075423737490398,0.8259080149701199,0.8527597609325498,0.0001987749898892162,0.8087559478935826
6,0.22029914768549283,0.21065962731097795,0.8279865303291243,0.8538544674250359,0.00019823758144750452,0.8527597609325498
7,0.2088651343738419,0.1975688073575867,0.8457898868250737,0.8710140256112838,0.00019760371781290536,0.8538544674250359
8,0.20149001704642255,0.18675828942600986,0.8655776714808495,0.8815084919350791,0.00019687402453229879,0.8710140256112838
9,0.1953411198071496,0.4566344504030595,0.3521927091574445,0.5567470906366168,0.00019604922172485585,0.8815084919350791
10,0.18629695453017067,0.19081984932378213,0.8476543973894128,0.8745477318581826,0.0001951301233713678,0.8815084919350791
11,0.18298066636422494,0.17319739961661168,0.879308838950716,0.901632935072624,0.00019411763651094546,0.8815084919350791
12,0.17918065262380145,0.16858532177920668,0.8893398504949569,0.9101702808920227,0.00019301276034588104,0.901632935072624
13,0.1734199096534442,1.257813016450183,0.30026069319467624,0.465458293561407,0.00019181658525555613,0.9101702808920227
14,0.1707238170918362,0.1662542766295605,0.8979988750860777,0.9126658193826401,0.00019053029172036898,0.9101702808920227
15,0.16958737625579196,0.16003356152069495,0.8927074223410867,0.91422281125781,0.00018915514915674264,0.9126658193826401
16,0.16563205753399318,0.16116325635902629,0.9038177112337402,0.923101361379377,0.00018769251466436445,0.91422281125781
17,0.16397819845892153,0.7261049323570654,0.3425989009201706,0.4685426019760239,0.00018614383168689242,0.923101361379377
18,0.15934494520172873,0.15514226040299633,0.907813932112729,0.924428544214537,0.00018451062858745054,0.923101361379377
